中文电影名,英文电影名,其他电影名,评分
黑客帝国3：矩阵革命,The Matrix Revolutions,22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),8.8
心迷宫,殡棺  /  The Coffin in the Mountain,-,8.7
头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台),8.7
记忆碎片,Memento,凶心人(港)  /  记忆拼图(台),8.7
你的名字。,君の名は。,你的名字  /  君之名,8.4
忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事,9.2
荒蛮故事,Relatos salvajes,蛮荒故事  /  生命中最抓狂的小事(台),8.8
真爱至上,Love Actually,真的恋爱了(港)  /  爱是您，爱是我(台),8.6
海街日记,海街diary,海街女孩日记(港)  /  Kamakura Diary,8.8
爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台),8.7
贫民窟的百万富翁,Slumdog Millionaire,一百万零一夜(港)  /  贫民百万富翁(台),8.6
东邪西毒,東邪西毒,Ashes of Time,8.6
萤火虫之墓,火垂るの墓,再见萤火虫(港)  /  萤火挽歌,8.7
寄生虫,기생충,寄生上流(台)  /  上流寄生族(港),8.8
惊魂记,Psycho,精神病患者  /  触目惊心(港),9.0
黑天鹅,Black Swan,夺命黑天鹅  /  霸王别鹅(豆友译名),8.6
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,哈利波特4：火杯的考验(港 / 台) ,8.6
无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险,8.7
你看起来好像很好吃,おまえうまそうだな,你看起来很好吃(台)  /  你看上去好像很好吃,8.9
小偷家族,万引き家族,Shoplifters  /  Une Affaire de Famille,8.7
绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里,8.9
冰川时代,Ice Age,冰河世纪  /  冰原历险记,8.6
爱在午夜降临前,Before Midnight,情约半生(港)  /  爱在午夜希腊时(台),8.8
雨人,Rain Man,手足情未了(港)  /  手足情深,8.7
恋恋笔记本,The Notebook,忘了·忘不了(港)  /  手札情缘(台),8.5
疯狂的石头,Crazy Stone,-,8.5
九品芝麻官,九品芝麻官之白面包青天  /  Hail the Judge,-,8.6
恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角,8.5
奇迹男孩,Wonder,奇迹,8.6
雨中曲,Singin' in the Rain,万花嬉春(港 / 台) ,9.0
魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送,8.7
二十二,Twenty Two  /  22,-,8.7
虎口脱险,La grande vadrouille,横冲直撞出重围(港)  /  大進擊(台),8.9
海边的曼彻斯特,Manchester by the Sea,情系海边之城(港),8.6
人工智能,Artificial Intelligence: AI,AI人工智慧,8.7
2001太空漫游,2001: A Space Odyssey,2001：星际漫游  /  2001：太空奥德赛,8.8
色，戒,色|戒  /  色·戒,-,8.5
房间,Room,不存在的房间(台)  /  抖室(港),8.8
城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,9.3
可可西里,Kekexili: Mountain Patrol,-,8.8
罗生门,羅生門,Rashomon,8.8
终结者2：审判日,Terminator 2: Judgment Day,未来战士2(港)  /  魔鬼终结者2(台),8.7
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事,8.4
大佛普拉斯,The Great Buddha+,-,8.7
波西米亚狂想曲,Bohemian Rhapsody,波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),8.7
遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台),8.7
魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦,8.8
牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day,8.9
源代码,Source Code,启动原始码(台)  /  危机解密(港),8.5
新龙门客栈,新龍門客棧,New Dragon Gate Inn,8.6
青蛇,Green Snake,-,8.6
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),8.6
无耻混蛋,Inglourious Basterds,希魔撞正杀人狂(港)  /  恶棍特工(台),8.6
血钻,Blood Diamond,血钻石(台)  /  血腥钻石,8.7
燃情岁月,Legends of the Fall,秋日传奇  /  真爱一世情(台),8.8
步履不停,歩いても 歩いても,横山家之味(港 / 台) ,8.8
海洋,Océans,Oceans  /  海洋,9.1
